programms,type
United Launch Alliance,Joint venture
Qatar Airways,airline
Lufthansa,airline
Everts Air,airline
United Airlines,airline
Mitsubishi A6M Zero,fighter aircraft
ASM-135 ASAT,missile
Вега (ракета-носитель),missile
GGS WIND,satellite
Inmarsat-5 F4,satellite
OneWeb,satellite
Амос-6,satellite
Ka-Sat,satellite
Jason-3,satellite
Starlink,satellite
SwissCube,satellite
GSAT-17,satellite
GSAT-19,satellite
Аполлон,space program
Артемида,space program
Планк,space station
МКС,space station
InSight,spacecraft
Дискавери (шаттл),spacecraft
Dragonfly,spacecraft
Virgin Galactic,spaceflight company
