company,country
Guiana Space Center,France
European Space Agency ESA,France
Space Research Center,India
Italian Space Agency,Italy
Leonardo,Italy
Japan Aerospace Exploration Agency,Japan
Roscosmos,Russia
ClearSpace,Switzerland
UK space agency,UK
Meggitt PLC,UK
Virgin Galactic,USA
Jet Propulsion Laboratory,USA
Marshall Space Flight Center,USA
United Launch Alliance,USA
Blue Origin,USA
Federal Aviation Administration,USA
SpaceNews ,USA
Kennedy Space Center,USA
Rocket Lab,USA
Armstrong Flight Research Center,USA
Safran,USA
Starlink,USA
Naked Science,USA
NASA,USA
SpaceX,USA
